Location,Time,Female,Male,threshold,under.t,total,under.65,prop.over.65,prop.over.t
Algeria,2089,76.47321249379681,75.35877544685604,75.93168701922174,54855.60397666902,62797.493,46316.891,0.2624404448757214,0.1264682496693137
Algeria,2090,76.5645866551006,75.44574456186756,76.01987366341429,54643.2301135892,62814.647,46158.814,0.26515842714200083,0.13008776259477825
Algeria,2091,76.65560103734467,75.53282484037739,76.10706953698886,54454.43464461202,62824.97,46057.808,0.2668869081831635,0.13323580346139413
Algeria,2092,76.74601935932374,75.6197160439294,76.1934536958157,54278.237278573026,62828.113,45959.351,0.26849066754559375,0.1360835987773017
Algeria,2093,76.83560533983251,75.70611793406744,76.27920519576509,54104.75944793462,62823.82,45856.331,0.2700805044965429,0.1387859024183085
Algeria,2094,76.92413385559122,75.7917508599124,76.36447834762964,53927.71833516815,62811.834,45742.569,0.2717523739236781,0.14144015703843085
Algeria,2095,77.0114244150223,75.87641752089333,76.44932848189156,53744.217565436964,62791.869,45614.165,0.2735657382646151,0.14408953864015475
Algeria,2096,77.09730768447373,75.95994120401632,76.5337861839554,53612.963419348554,62763.548,45550.7,0.27424912307379445,0.14579457140713983
Algeria,2097,77.18161433029351,76.04214519628746,76.61788203922576,53482.75345624195,62726.426,45475.293,0.27502177471421696,0.1473648848375013
Algeria,2098,77.26417501882962,76.12285278471283,76.7016466331072,53350.51551554433,62679.958,45385.695999999996,0.2759137458260582,0.14884251333505474
Bahrain,1953,59.27134958323484,56.451751384589244,57.88243734602194,117.31842870962187,123.489,120.31700000000001,0.025686498392569354,0.04996859064676315
Bahrain,1954,59.41492593663713,56.618951680001295,58.03080031062262,121.93704318716732,128.253,124.958,0.02569140682869007,0.049246074655818324
Bahrain,1955,59.558151041912346,56.792082377922874,58.17877103086166,127.11543873806558,133.585,130.164,0.025609162705393724,0.048430297278395255
Bahrain,1956,59.7009799213481,56.97010357215779,58.32642413427822,132.5515940680417,139.268,135.688,0.02570583335726809,0.048226483700191655
Bahrain,1957,59.843367597231996,57.151975356509844,58.47383424841143,138.15694410708124,145.109,141.367,0.025787511456904937,0.04790919855363047
Bahrain,1958,59.98526909185165,57.33665782478285,58.62107600080043,143.79884907665772,150.982,147.058,0.02598985309507098,0.04757620725213788
Bahrain,1959,60.126656557446225,57.522893347311324,58.76815679278365,149.3620573260221,156.777,152.641,0.026381420744114228,0.04729611278425975
Bahrain,1960,60.267570666061154,57.70855340055266,58.914815120896684,154.78346863744733,162.427,158.058,0.026898237362014937,0.04705825609383086
Bahrain,1961,60.40806921969341,57.89129173749497,59.06072225547443,160.60855285468807,167.894,163.588,0.025647134501530795,0.043393135819695366
Bahrain,1962,60.548210020339994,58.06876211112634,59.20554946685178,166.28807508997454,173.144,168.992,0.023980039735711403,0.039596664683878534
Bahrain,1963,60.68805086999788,58.23861827443489,59.34896802536362,171.80677630185176,178.14,174.244,0.021870438980577,0.03555194621167751
Bahrain,1964,60.82756392090624,58.39960259775514,59.49098533234838,177.18908587752776,182.887,179.361,0.019279664492282175,0.031155380767754082
Bahrain,1965,60.96637872627301,58.55481192080729,59.63295331315865,182.4793122529781,187.431,184.38,0.016277990300430645,0.02641872340766419
Bahrain,1966,61.104039189548274,58.708431700657954,59.77656002415058,186.4362621789898,191.78,188.523,0.01698300135572012,0.02786389519767543
Bahrain,1967,61.24008921418216,58.86464739437376,59.92349352168029,190.27309756914835,196.063,192.554,0.017897308518180312,0.029530826473386822
Bahrain,1968,61.37407270362476,59.027644459021325,60.075441862103936,194.33466661521004,200.653,196.825,0.019077711272694666,0.03148885580973099
Bahrain,1969,61.505685305326686,59.200025876127285,60.23323678278316,199.08964199230084,206.043,201.808,0.020553962037050583,0.03374712078400705
Bahrain,1970,61.6352296427405,59.378064725058344,60.39428474510169,204.90104628310874,212.605,207.853,0.022351308765080697,0.03623599499960607
Bahrain,1971,61.763160083319256,59.55645160964123,60.55513589144879,212.57670577498845,220.312,215.426,0.022177638984712696,0.035110635031280896
Bahrain,1972,61.88993099451603,59.72987713370266,60.712340364213716,221.35468346298074,229.155,224.09300000000002,0.022089851847003048,0.03403947780768151
Bahrain,1973,62.01599674378388,59.89303190106936,60.86244830578571,231.63045439159686,239.527,234.241,0.022068493322255835,0.03296724631629474
Bahrain,1974,62.14165913576213,60.04294391633209,61.00343369789784,243.89016700146416,251.911,246.371,0.021991893962550232,0.031839947435943004
Bahrain,1975,62.266609723835195,60.18599078713779,61.138965879658386,258.3414755636084,266.543,260.739,0.021775098201791195,0.03076998621757688
Bahrain,1976,62.390387498573745,60.33088752189742,61.27413802951944,275.39812144894256,283.752,277.755,0.021134652795398848,0.029440774165670897
Bahrain,1977,62.51253145054846,60.48634912902194,61.414043325933086,294.5621517983876,303.175,296.99399999999997,0.02038756493774236,0.02840883384715888
Bahrain,1978,62.632580570330006,60.66109061692233,61.56377494735142,314.53965213755157,323.473,317.144,0.019565775196075122,0.027616981517617985
Bahrain,1979,62.750172078818096,60.860307732776775,61.72646227429432,333.5307444759906,342.798,336.34,0.018839083075163878,0.02703415867073141
Bahrain,1980,62.86533611822856,61.075119178832324,61.8973794955529,350.2972426227721,359.888,353.273,0.018380718445738544,0.026649283602753843
Bahrain,1981,62.97820106110626,61.293124396103245,62.06983700198604,363.7554573500144,374.12,366.771,0.019643429915535093,0.027703791965106368
Bahrain,1982,63.08889527999605,61.50192282560382,62.23714518445264,374.94239422953683,385.95,377.88,0.020909444228526995,0.028520807800137733
Bahrain,1983,63.19754714744281,61.689113908348304,62.39261443381161,384.90997849912566,396.454,387.673,0.02214884955127204,0.029118186475289316
Bahrain,1984,63.304320921394776,61.846168206855765,62.53160310192435,395.22277333752743,407.227,397.768,0.02322783116050754,0.02947797337227774
Bahrain,1985,63.40952440141374,61.98004076966444,62.65766138466232,407.0064091163554,419.43,409.344,0.024046920821114398,0.02962017710617881
Bahrain,1986,63.513501272464886,62.10155776681736,62.77638743889951,421.25487609880844,433.482,423.464,0.023110532847961458,0.028206762682629474
Bahrain,1987,63.61659521951339,62.22154536835754,62.8933794215099,436.90665350208974,448.973,439.039,0.02212605212340169,0.02687543905292807
Bahrain,1988,63.71914992752444,62.35082974432802,63.01423548936745,453.2647404202024,465.202,455.371,0.021132755233210558,0.0256603788887357
Bahrain,1989,63.821393456441314,62.49709395566698,63.142899303878195,469.25774850819863,481.09,471.368,0.0202082770375605,0.02459467353676307
Bahrain,1990,63.92309136611973,62.65544862689331,63.27669654457631,484.1704764664343,495.931,486.288,0.01944423720235269,0.023714031858394966
Bahrain,1991,64.0238935913935,62.817861273421045,63.41129839552803,497.5088880373414,509.765,499.539,0.020060223828626916,0.02404267056910256
Bahrain,1992,64.12345006709644,62.976299410664225,63.54237604079955,510.3813963925574,523.087,512.277,0.02066577835044638,0.02428965661054965
Bahrain,1993,64.2214107280624,63.1227305540369,63.665600664457116,523.1250789634927,536.213,524.847,0.021196800525164414,0.02440806365475526
Bahrain,1994,64.31759969163595,63.25119878275155,63.777844420917354,536.1815734005601,549.588,537.749,0.02154159115555642,0.024393594109478185
Bahrain,1995,64.41253780520486,63.364054431214484,63.88078334599857,550.0018983204632,563.699,551.475,0.021685332065517118,0.024298609150516123
Bahrain,1996,64.50692009866768,63.465724397630446,63.9772944458695,564.5006514177375,578.668,565.899,0.02206619339586776,0.024482688834119994
Bahrain,1997,64.60144160192296,63.560635580204185,64.07025472669883,580.305749036714,594.93,581.597,0.022411039954280287,0.024581464984596395
Bahrain,1998,64.69679734486922,63.653214877140456,64.1625411946553,598.6892915776394,613.702,599.841,0.022585880443602904,0.024462537880535765
Bahrain,1999,64.79342120039836,63.74687142120459,64.25632781624002,621.1665025231958,636.545,622.186,0.022557713908678764,0.02415932491309195
Bahrain,2e3,64.89070241337551,63.84094328340427,64.35097639928362,648.8315456601568,664.614,649.752,0.022361852142747638,0.023746797900500417
Bahrain,2001,64.98776907165916,63.93375076930776,64.44514571194915,681.5810073563638,697.549,682.41,0.02170313483353859,0.022891571264006105
Bahrain,2002,65.08374926310778,64.02361418448332,64.53749452239964,718.8345685161592,735.148,719.574,0.021184849853362952,0.022190676549267457
Bahrain,2003,65.17777107557984,64.10885383449923,64.6266815987981,761.8591200751839,778.711,762.495,0.020824156843809845,0.02164073696765052
Bahrain,2004,65.26958394212636,64.18854930545238,64.71209012404694,812.2705416792642,829.848,812.782,0.020565211942427913,0.02118153965634163
Bahrain,2005,65.36142267656838,64.26481730555426,64.7960009400059,870.7134390392763,889.168,871.084,0.020338113832256737,0.020754864053501375
Bahrain,2006,65.45614343791951,64.34053382354497,64.8814193032741,939.2093192142964,958.414,939.429,0.019808767401143988,0.02003798023161551
Bahrain,2007,65.5566023851933,64.41857484816464,64.97135047045066,1015.785300333236,1035.891,1015.841,0.01935531827190319,0.01940908808626009
Bahrain,2008,65.66565567740336,64.50181636815336,65.0687996981347,1093.5437523933638,1114.59,1093.402,0.01900968068976025,0.018882501733046363
Bahrain,2009,65.78521469899005,64.59236084421497,65.17579850564825,1163.139936000457,1185.029,1162.754,0.018797008343255813,0.018471331924824575
